date,open,high,low,close,volume,average,barCount
2024-05-08 17:15:00-04:00,1.0748,1.0748,1.07467,1.07474,-1.0,-1.0,-1
2024-05-08 17:20:00-04:00,1.07474,1.074865,1.074685,1.07477,-1.0,-1.0,-1
2024-05-08 17:25:00-04:00,1.07477,1.074835,1.07473,1.074805,-1.0,-1.0,-1
2024-05-08 17:30:00-04:00,1.074805,1.074805,1.074715,1.07478,-1.0,-1.0,-1
2024-05-08 17:35:00-04:00,1.07478,1.07481,1.07476,1.0748,-1.0,-1.0,-1
2024-05-08 17:40:00-04:00,1.0748,1.07482,1.07478,1.074785,-1.0,-1.0,-1
2024-05-08 17:45:00-04:00,1.074785,1.07494,1.07476,1.074845,-1.0,-1.0,-1
2024-05-08 17:50:00-04:00,1.074845,1.07489,1.07483,1.07487,-1.0,-1.0,-1
2024-05-08 17:55:00-04:00,1.07487,1.074915,1.074835,1.074915,-1.0,-1.0,-1
2024-05-08 18:00:00-04:00,1.074915,1.07506,1.07491,1.074995,-1.0,-1.0,-1
2024-05-08 18:05:00-04:00,1.074995,1.07501,1.07489,1.074935,-1.0,-1.0,-1
2024-05-08 18:10:00-04:00,1.074935,1.07494,1.07487,1.07493,-1.0,-1.0,-1
2024-05-08 18:15:00-04:00,1.07493,1.07499,1.07493,1.074985,-1.0,-1.0,-1
2024-05-08 18:20:00-04:00,1.074985,1.075015,1.07494,1.07499,-1.0,-1.0,-1
2024-05-08 18:25:00-04:00,1.07499,1.07499,1.074935,1.074985,-1.0,-1.0,-1
2024-05-08 18:30:00-04:00,1.074985,1.075055,1.07498,1.075,-1.0,-1.0,-1
2024-05-08 18:35:00-04:00,1.075,1.075,1.07495,1.074975,-1.0,-1.0,-1
2024-05-08 18:40:00-04:00,1.074975,1.074975,1.07493,1.07494,-1.0,-1.0,-1
2024-05-08 18:45:00-04:00,1.07494,1.07494,1.07488,1.074895,-1.0,-1.0,-1
2024-05-08 18:50:00-04:00,1.074895,1.07493,1.074885,1.074895,-1.0,-1.0,-1
2024-05-08 18:55:00-04:00,1.074895,1.0749,1.074885,1.074895,-1.0,-1.0,-1
2024-05-08 19:00:00-04:00,1.074895,1.074955,1.07488,1.07489,-1.0,-1.0,-1
2024-05-08 19:05:00-04:00,1.07489,1.074895,1.07483,1.07484,-1.0,-1.0,-1
2024-05-08 19:10:00-04:00,1.07484,1.074845,1.07479,1.07479,-1.0,-1.0,-1
2024-05-08 19:15:00-04:00,1.07479,1.0748,1.074765,1.07479,-1.0,-1.0,-1
2024-05-08 19:20:00-04:00,1.07479,1.074805,1.074745,1.07478,-1.0,-1.0,-1
2024-05-08 19:25:00-04:00,1.07478,1.07478,1.074695,1.0747,-1.0,-1.0,-1
2024-05-08 19:30:00-04:00,1.0747,1.074755,1.074675,1.07474,-1.0,-1.0,-1
2024-05-08 19:35:00-04:00,1.07474,1.074745,1.07469,1.0747,-1.0,-1.0,-1
2024-05-08 19:40:00-04:00,1.0747,1.07474,1.07463,1.074635,-1.0,-1.0,-1
2024-05-08 19:45:00-04:00,1.074635,1.07469,1.074625,1.07466,-1.0,-1.0,-1
2024-05-08 19:50:00-04:00,1.07466,1.07469,1.07463,1.074685,-1.0,-1.0,-1
2024-05-08 19:55:00-04:00,1.074685,1.074695,1.07463,1.074685,-1.0,-1.0,-1
